Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
2019-06-03 00:00:00;8735.84;8745.96;8715.67;8715.74;15.77;137608.69;8724.77
2019-06-03 00:05:00;8715.74;8718.09;8691.93;8706.82;58.71;511301.42;8709.02
2019-06-03 00:10:00;8706.76;8708.93;8685;8685;54.75;476283.04;8699.47
2019-06-03 00:15:00;8686.16;8696;8671.47;8676.82;68.32;593057.25;8680.62
2019-06-03 00:20:00;8677.79;8695.56;8676.28;8691.24;11.44;99289.49;8682.81
2019-06-03 00:25:00;8692.58;8706.17;8689.09;8697.88;4.7;40872.19;8695.84
2019-06-03 00:30:00;8699.79;8701.8;8684.63;8690.69;15.01;130466.08;8690.28
2019-06-03 00:35:00;8688.24;8693.99;8682.22;8687.83;3.85;33489.11;8691.8
2019-06-03 00:40:00;8682.95;8688.28;8661.9;8678.39;47.36;410855.14;8675.64
2019-06-03 00:45:00;8678.39;8684.35;8660;8660;24.87;215700.8;8674.34
2019-06-03 00:50:00;8664;8690.71;8663.96;8684.27;10.13;87937.03;8677.24
2019-06-03 00:55:00;8681.16;8686.79;8668.84;8674.95;1.67;14476.46;8679.18
2019-06-03 01:00:00;8677.87;8679.75;8610.57;8641.38;72.45;625928.82;8639.62
2019-06-03 01:05:00;8630.36;8649.28;8619.09;8642.74;26.83;231703.37;8635.16
2019-06-03 01:10:00;8647.51;8654.35;8641.78;8650.45;7.97;68969.92;8649.59
2019-06-03 01:15:00;8655.32;8655.32;8633.77;8653.71;18.66;161307.22;8643.35
2019-06-03 01:20:00;8645;8666.28;8644.61;8661.28;3.25;28112.79;8654.52
2019-06-03 01:25:00;8667.35;8686.95;8664.47;8681.61;15.72;136344.85;8674.54
2019-06-03 01:30:00;8679.03;8693.93;8677.18;8688.65;22.61;196380.75;8685.35
2019-06-03 01:35:00;8685.43;8686.4;8676.98;8676.98;6.72;58390.34;8683.01
2019-06-03 01:40:00;8681.5;8686.37;8679.33;8685.29;1.46;12670.76;8683.45
2019-06-03 01:45:00;8681.52;8710.8;8681.52;8689.84;8.4;73072.2;8694.23
2019-06-03 01:50:00;8697.18;8705.24;8689.83;8699.88;6.86;59691.76;8699.64
2019-06-03 01:55:00;8706.68;8706.68;8685;8685.17;7.41;64418.08;8690.44
2019-06-03 02:00:00;8693.46;8693.46;8652.41;8657.72;21.37;185284.53;8672.07
2019-06-03 02:05:00;8652.4;8673.72;8651.51;8667.15;15.34;132763.6;8656.38
2019-06-03 02:10:00;8678.83;8712.44;8677.16;8698.48;6.86;59621.95;8693.04
2019-06-03 02:15:00;8701.8;8701.8;8682.7;8686.51;5.56;48304.29;8691.66
2019-06-03 02:20:00;8684.03;8688.69;8676.38;8676.85;19.37;168233.63;8685.24
2019-06-03 02:25:00;8681.21;8686.27;8671.42;8682.35;8.54;74110.61;8681.38
2019-06-03 02:30:00;8683.98;8698.29;8680.41;8691.17;9.55;82992.74;8689.09
2019-06-03 02:35:00;8697.97;8701.59;8689.18;8695.95;5.08;44215.21;8696.73
2019-06-03 02:40:00;8692.4;8698.92;8692.16;8692.16;8.69;75581.01;8695.66
2019-06-03 02:45:00;8692.16;8693;8682.72;8685.81;21.2;184209.04;8689.2
2019-06-03 02:50:00;8689.54;8691.11;8678.55;8680.9;4.56;39649.69;8687.09
2019-06-03 02:55:00;8681.47;8682.4;8669.01;8669.88;14.88;129134.46;8679.37
2019-06-03 03:00:00;8670.66;8680.95;8667.4;8677.11;26.68;231406.25;8672.29
2019-06-03 03:05:00;8677.11;8693.61;8677.1;8690.65;4.62;40117.96;8686.48
2019-06-03 03:10:00;8690.64;8700;8685.87;8688.67;4.85;42133.44;8694.34
2019-06-03 03:15:00;8688.57;8698.62;8688;8690.09;1.05;9164.82;8694.43
2019-06-03 03:20:00;8690.09;8694.36;8688;8688;1.31;11421.63;8692.16
2019-06-03 03:25:00;8688;8703.59;8688;8696.9;5.66;49206.03;8693.01
2019-06-03 03:30:00;8696.89;8710;8696.89;8700.01;2.99;26018.7;8703.14
2019-06-03 03:35:00;8700;8703.62;8686.66;8686.66;8.07;70168.4;8699.53
2019-06-03 03:40:00;8690.11;8695.38;8683.51;8683.52;2.71;23581.88;8688.06
2019-06-03 03:45:00;8691.61;8702.63;8657.49;8664.76;31.9;276885.59;8680.11
2019-06-03 03:50:00;8664.59;8686.1;8658.46;8658.46;7.76;67250.23;8667.81
2019-06-03 03:55:00;8667.56;8678.7;8659.6;8678.68;3.35;29026.8;8667.16
2019-06-03 04:00:00;8678.7;8698;8667.58;8667.58;5.26;45692.68;8684.74
2019-06-03 04:05:00;8672.2;8677.51;8659.19;8665.27;5.81;50388.15;8671.48
2019-06-03 04:10:00;8666.55;8690.12;8666.55;8690.06;3.37;29220.86;8677.97
2019-06-03 04:15:00;8690.79;8692.11;8679.93;8685.37;7;60855.68;8687.62
2019-06-03 04:20:00;8684.39;8684.39;8672.86;8672.86;1.81;15701.28;8680.61
2019-06-03 04:25:00;8672.77;8675.79;8669.3;8670.27;0.72;6259.03;8674.4
2019-06-03 04:30:00;8674.78;8674.79;8654.88;8664.68;10.64;92120.24;8661.32
2019-06-03 04:35:00;8664.68;8675.61;8659.37;8669.33;6.52;56491.35;8669.97
2019-06-03 04:40:00;8675.71;8679.78;8660.04;8660.04;7.89;68438.7;8674.95
2019-06-03 04:45:00;8660.04;8666.22;8659.93;8662.54;6.78;58737.68;8663.73
2019-06-03 04:50:00;8665.51;8670.61;8661.73;8663.93;5.42;46958.17;8664.79
2019-06-03 04:55:00;8670.61;8691.53;8662.4;8683.19;9.58;83064.62;8674.88
2019-06-03 05:00:00;8681.44;8691.48;8676.9;8680.01;29.03;252082.33;8684.23
2019-06-03 05:05:00;8681.88;8681.88;8676.04;8679.34;6.36;55167.07;8680.19
2019-06-03 05:10:00;8680.88;8680.88;8673.55;8673.55;2.96;25652.98;8679.38
2019-06-03 05:15:00;8673.54;8674.61;8661.01;8668.7;6.95;60266.84;8668.49
2019-06-03 05:20:00;8667.61;8674.81;8646.47;8647.24;7.86;68156.1;8669.56
2019-06-03 05:25:00;8652.56;8654.17;8643.38;8650.31;16.19;140080.13;8650.91
2019-06-03 05:30:00;8650.31;8663.6;8646.47;8663.6;7.72;66835.13;8655.62
2019-06-03 05:35:00;8658.53;8662.97;8640.74;8640.74;14.09;121922.55;8655.52
2019-06-03 05:40:00;8638.36;8641.48;8569;8569;79.67;685201.57;8600.96
2019-06-03 05:45:00;8583.57;8621.5;8561.66;8583.98;125.59;1077950.53;8582.92
2019-06-03 05:50:00;8593.58;8593.58;8545.15;8569.34;48.92;418661.97;8557.32
2019-06-03 05:55:00;8569.33;8599.71;8563.56;8586.94;32.24;276727.62;8584.63
2019-06-03 06:00:00;8585.35;8605.32;8576.82;8593.06;16.1;138391.18;8593.68
2019-06-03 06:05:00;8593.06;8615.86;8591.34;8605.79;22.32;192068.57;8604.97
2019-06-03 06:10:00;8605.79;8621.36;8598.04;8600.31;11.63;100117.7;8610.76
2019-06-03 06:15:00;8600.38;8606.03;8582.18;8587.96;5.43;46669.64;8593.59
2019-06-03 06:20:00;8585.01;8604.83;8575;8596.06;14.72;126522.25;8593.8
2019-06-03 06:25:00;8598.37;8608.33;8586.83;8588.09;3.12;26844.9;8601.22
2019-06-03 06:30:00;8592.65;8592.65;8483.08;8513.78;326.21;2774995.98;8506.68
2019-06-03 06:35:00;8520.58;8530;8482.53;8490.94;86.26;734419.66;8513.56
2019-06-03 06:40:00;8490.95;8517.92;8461.38;8513.91;59.59;505682.63;8486.19
2019-06-03 06:45:00;8514.56;8530;8489.72;8524.13;79.34;676170.07;8522.85
2019-06-03 06:50:00;8524.13;8542.63;8518.39;8524.09;32.85;280244.33;8531.88
2019-06-03 06:55:00;8529.99;8529.99;8504.5;8514.65;10.23;87132.63;8514.65
2019-06-03 07:00:00;8520.2;8526.92;8480;8489.68;100.3;851474.67;8489.56
2019-06-03 07:05:00;8485.2;8500.31;8454.02;8479.03;78.17;662352.88;8472.8
2019-06-03 07:10:00;8478.47;8478.47;8335.56;8420.96;300.16;2520735;8397.96
2019-06-03 07:15:00;8416.09;8436.51;8386.67;8420;63.83;537189.64;8415.82
2019-06-03 07:20:00;8427.31;8461.38;8412.49;8443.17;54.84;462575.74;8435.48
2019-06-03 07:25:00;8448.1;8469.71;8439.73;8461.76;33.48;283138.44;8457.44
2019-06-03 07:30:00;8465.83;8470.06;8439.11;8459.21;31.37;265234.46;8454.16
2019-06-03 07:35:00;8462.84;8496.26;8462.84;8479.42;78.91;669206.08;8480.25
2019-06-03 07:40:00;8480.12;8496.22;8473.31;8475.63;15.77;133776.34;8484.6
2019-06-03 07:45:00;8474.87;8481.72;8450;8471.36;74.65;631665.03;8461.17
2019-06-03 07:50:00;8475.04;8483.51;8462.14;8462.84;15.48;131152.37;8473.43
2019-06-03 07:55:00;8472.81;8472.99;8449.54;8462.32;49.57;419140.69;8455.35
2019-06-03 08:00:00;8472.99;8491.84;8462.33;8490.2;35.78;303442.08;8479.62
2019-06-03 08:05:00;8490.2;8503.74;8490;8493.4;82.58;701733.2;8497.23
2019-06-03 08:10:00;8500;8516.65;8493.41;8516.65;27.6;234775.24;8506.27
2019-06-03 08:15:00;8510.27;8521.6;8501.39;8501.41;71.99;612353.51;8505.91
2019-06-03 08:20:00;8509.99;8510;8491.57;8494.58;12.47;106011.48;8501.42
2019-06-03 08:25:00;8503.94;8504.62;8484.42;8486.27;34.04;289124.47;8493.41
2019-06-03 08:30:00;8494.16;8506.66;8484.34;8502.2;8.8;74767.23;8491.69
2019-06-03 08:35:00;8502.2;8508.25;8498.62;8502.2;10.62;90294.42;8503.74
2019-06-03 08:40:00;8508.25;8510;8491.48;8497.24;15.15;128768.22;8500.61
2019-06-03 08:45:00;8496.01;8509.68;8493.59;8499.44;11.53;98016.36;8498.74
2019-06-03 08:50:00;8503.74;8503.74;8470;8473.56;8.19;69412.09;8478.38
2019-06-03 08:55:00;8483.12;8483.12;8460.01;8460.01;4.05;34325.25;8466.65
